Unnamed: 0,10percentage,12percentage,collegeGPA,English,Logical,Quant,Domain,ComputerProgramming,ComputerScience,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,12GradAge,GradAge,Gender_f,Gender_m,12board_cbse,12board_icse,12board_n/a,12board_state,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,Specialization_CS,Specialization_EC,Specialization_EL,Specialization_ME,Specialization_other
train,89.92,87.0,76.32,560,555,620,-1.0,645,407,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,22,22,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
train,86.08,67.5,72.98,590,435,380,0.356536487724475,405,346,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,23,23,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
train,81.2,79.9,67.67,395,565,645,-1.0,495,376,0.7027,0.7119,0.01,-0.995,0.6721,22,22,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
train,60.8,66.66,74.74,465,585,515,0.911395278391328,545,500,0.8463,1.0449,-1.0659,-1.6289,0.6721,17,17,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
train,88.0,90.0,76.0,625,555,630,0.356536487724475,475,346,0.4155,0.8027,0.1357,-0.995,-0.6692,23,23,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
train,86.8,82.8,78.0,575,585,575,0.744758354008939,565,438,0.0464,1.2028,-0.9245,0.5323,-0.2875,21,21,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
train,64.0,74.0,68.0,485,375,435,0.486747008438193,345,376,-3.1994,-1.8393,0.0552,0.0623,-0.7615,22,22,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
train,77.2,86.1,71.0,560,485,450,0.622642915849938,485,407,-0.0154,1.2114,1.0859,-1.5021,0.2889,22,22,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
train,73.0,68.4,74.3,560,530,605,0.911395278391328,445,500,-0.7335,0.5454,-0.7585,-0.6147,1.4386,22,22,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
train,71.0,68.0,70.86,430,510,405,0.356536487724475,465,346,1.5644,1.0449,0.3174,-1.8824,1.0554,19,19,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
train,75.0,60.0,66.0,380,545,460,0.356536487724475,395,346,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,22,22,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
train,91.4,73.0,71.0,555,560,825,0.23780283983757,525,315,-0.0154,0.2578,-0.5349,-1.1218,-1.359,21,21,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
train,85.6,82.0,74.01,370,495,455,0.0800552813405495,445,253,0.1282,0.5454,0.1637,-0.4879,0.8637,21,21,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
train,86.6,75.0,74.0,505,545,565,0.356536487724475,475,346,-2.5039,0.0328,0.3817,0.26793,0.5024,21,21,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
train,90.8,90.1,67.7,525,530,595,0.486747008438193,485,376,-0.3027,0.7119,-0.2974,1.1601,-0.4776,22,22,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
train,85.3,88.3,85.0,370,375,325,0.356536487724475,315,346,1.8517,1.5444,0.3174,0.3995,0.6721,23,23,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
train,86.0,64.0,61.17,665,545,415,0.911395278391328,405,500,1.1336,1.3779,2.1617,-0.995,1.0554,20,20,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
train,85.0,75.0,60.0,675,480,500,0.842248322257836,425,469,1.1336,1.0449,0.1637,-1.2486,0.0973,22,22,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
train,86.0,77.0,75.0,325,510,295,0.0185409416754305,415,192,0.1282,0.0459,0.1637,0.0192,-0.0943,21,21,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
train,86.4,78.2,73.5,535,435,440,0.207392169717661,355,530,0.8463,1.3779,1.3933,0.653,-0.2859,23,23,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
train,84.83,82.4,74.14,665,595,705,0.744758354008939,505,438,-0.4463,0.2124,0.3174,-1.5021,-0.2859,22,22,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
train,87.0,60.0,70.82,640,605,400,0.842248322257836,425,469,0.8463,1.2114,1.2396,-0.1076,1.247,22,22,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
train,80.8,75.0,77.38,405,470,370,-1.0,475,500,1.4208,-0.7866,-0.1437,-1.5021,-0.4776,21,21,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
train,88.0,88.0,70.12,710,605,605,0.744758354008939,405,438,0.5591,1.2114,1.8543,0.1459,0.0973,22,22,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
train,55.6,50.8,80.03,440,425,370,0.23780283983757,415,315,-0.0154,0.8784,1.2396,1.2869,0.8637,18,18,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
train,75.0,72.0,80.0,475,470,415,0.911395278391328,595,500,0.8463,1.0449,1.3933,-1.6289,-0.2859,22,22,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
train,79.0,76.4,65.0,605,510,515,-1.0,345,346,1.7081,0.8784,1.547,-1.6289,-0.0943,19,19,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
train,85.8,65.8,69.7,615,630,750,0.622642915849938,485,407,0.8463,1.0449,0.01,-0.2344,0.4805,23,23,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
train,68.4,61.0,62.2,440,375,330,0.23780283983757,455,315,-1.7389,-1.2861,-0.4511,0.7798,-1.8189,22,22,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
